"Date";"Close Price";"Signal"
"2015-05-14";2529.95;"Hold"
"2015-05-15";2528.4;"Hold"
"2015-05-18";2520.6;"Hold"
"2015-05-19";2575.1;"Hold"
"2015-05-20";2579.25;"Hold"
"2015-05-21";2602.5;"Hold"
"2015-05-22";2600.9;"Hold"
"2015-05-25";2586.85;"Hold"
"2015-05-26";2616.05;"Hold"
"2015-05-27";2605.05;"Hold"
"2015-05-28";2641.95;"Hold"
"2015-05-29";2696.0;"Buy"
"2015-06-01";2709.7;"Hold"
"2015-06-02";2607.85;"Hold"
"2015-06-03";2578.05;"Hold"
"2015-06-04";2548.4;"Hold"
"2015-06-05";2576.85;"Hold"
"2015-06-08";2519.2;"Hold"
"2015-06-09";2501.65;"Hold"
"2015-06-10";2516.25;"Hold"
"2015-06-11";2503.65;"Hold"
"2015-06-12";2506.8;"Hold"
"2015-06-15";2509.25;"Hold"
"2015-06-16";2543.9;"Hold"
"2015-06-17";2525.6;"Hold"
"2015-06-18";2523.9;"Hold"
"2015-06-19";2551.7;"Hold"
"2015-06-22";2580.6;"Hold"
"2015-06-23";2523.2;"Hold"
"2015-06-24";2521.15;"Hold"
"2015-06-25";2552.05;"Hold"
"2015-06-26";2547.0;"Hold"
"2015-06-29";2538.45;"Hold"
"2015-06-30";2524.3;"Hold"
"2015-07-01";2518.8;"Hold"
"2015-07-02";2532.85;"Hold"
"2015-07-03";2577.8;"Hold"
"2015-07-06";2612.4;"Hold"
"2015-07-07";2562.5;"Hold"
"2015-07-08";2552.95;"Hold"
"2015-07-09";2605.4;"Hold"
"2015-07-10";2572.5;"Hold"
"2015-07-13";2600.65;"Hold"
"2015-07-14";2640.2;"Hold"
"2015-07-15";2660.1;"Hold"
"2015-07-16";2650.0;"Hold"
"2015-07-17";2649.8;"Hold"
"2015-07-20";2660.75;"Hold"
"2015-07-21";2685.85;"Hold"
"2015-07-22";2707.7;"Hold"
"2015-07-23";2714.3;"Hold"
"2015-07-24";2738.2;"Hold"
"2015-07-27";2605.65;"Hold"
"2015-07-28";2531.55;"Hold"
"2015-07-29";2566.25;"Hold"
"2015-07-30";2587.6;"Hold"
"2015-07-31";2674.45;"Hold"
"2015-08-03";2697.85;"Hold"
"2015-08-04";2624.25;"Hold"
"2015-08-05";2660.4;"Hold"
"2015-08-06";2652.65;"Hold"
"2015-08-07";2660.5;"Hold"
"2015-08-10";2704.85;"Hold"
"2015-08-11";2678.7;"Hold"
"2015-08-12";2635.35;"Hold"
"2015-08-13";2643.85;"Hold"
"2015-08-14";2714.0;"Hold"
"2015-08-17";2653.5;"Hold"
"2015-08-18";2641.85;"Hold"
"2015-08-19";2690.0;"Hold"
"2015-08-20";2633.9;"Hold"
"2015-08-21";2559.9;"Hold"
"2015-08-24";2478.95;"Hold"
"2015-08-25";2477.5;"Hold"
"2015-08-26";2391.95;"Hold"
"2015-08-27";2380.7;"Sell"
"2015-08-28";2400.95;"Hold"
"2015-08-31";2397.35;"Hold"
"2015-09-01";2385.3;"Hold"
"2015-09-02";2343.25;"Hold"
"2015-09-03";2329.95;"Hold"
"2015-09-04";2292.55;"Hold"
"2015-09-07";2279.8;"Hold"
"2015-09-08";2317.3;"Hold"
"2015-09-09";2347.75;"Hold"
"2015-09-10";2343.95;"Hold"
"2015-09-11";2342.05;"Hold"
"2015-09-14";2348.6;"Hold"
"2015-09-15";2310.6;"Hold"
"2015-09-16";2363.0;"Hold"
"2015-09-18";2428.55;"Hold"
"2015-09-21";2424.8;"Hold"
"2015-09-22";2386.1;"Hold"
"2015-09-23";2401.3;"Hold"
"2015-09-24";2380.65;"Hold"
"2015-09-28";2350.75;"Hold"
"2015-09-29";2331.7;"Hold"
"2015-09-30";2395.65;"Hold"
"2015-10-01";2413.35;"Hold"
"2015-10-05";2501.65;"Hold"
"2015-10-06";2532.55;"Hold"
"2015-10-07";2539.2;"Hold"
"2015-10-08";2539.6;"Hold"
"2015-10-09";2565.25;"Hold"
"2015-10-12";2547.65;"Hold"
"2015-10-13";2538.85;"Hold"
"2015-10-14";2505.75;"Hold"
"2015-10-15";2567.45;"Hold"
"2015-10-16";2586.85;"Hold"
"2015-10-19";2613.55;"Buy"
"2015-10-20";2605.05;"Hold"
"2015-10-21";2619.05;"Hold"
"2015-10-23";2594.95;"Hold"
"2015-10-26";2619.3;"Hold"
"2015-10-27";2620.4;"Hold"
"2015-10-28";2623.55;"Hold"
"2015-10-29";2625.75;"Hold"
"2015-10-30";2585.0;"Hold"
"2015-11-02";2549.1;"Hold"
"2015-11-03";2583.75;"Hold"
"2015-11-04";2614.4;"Hold"
"2015-11-05";2638.6;"Hold"
"2015-11-06";2632.9;"Hold"
"2015-11-09";2618.5;"Hold"
"2015-11-10";2657.4;"Hold"
"2015-11-11";2644.4;"Hold"
"2015-11-13";2610.95;"Hold"
"2015-11-16";2611.45;"Hold"
"2015-11-17";2597.8;"Hold"
"2015-11-18";2571.85;"Hold"
"2015-11-19";2591.35;"Hold"
"2015-11-20";2563.65;"Hold"
"2015-11-23";2637.25;"Hold"
"2015-11-24";2645.8;"Hold"
"2015-11-26";2680.8;"Hold"
"2015-11-27";2704.15;"Hold"
"2015-11-30";2702.65;"Hold"
"2015-12-01";2677.75;"Hold"
"2015-12-02";2675.85;"Hold"
"2015-12-03";2618.35;"Hold"
"2015-12-04";2617.15;"Hold"
"2015-12-07";2621.35;"Hold"
"2015-12-08";2602.85;"Hold"
"2015-12-10";2545.6;"Hold"
"2015-12-11";2523.3;"Hold"
"2015-12-14";2537.45;"Hold"
"2015-12-15";2563.85;"Hold"
"2015-12-16";2593.45;"Hold"
"2015-12-17";2649.75;"Hold"
"2015-12-18";2641.6;"Hold"
"2015-12-21";2695.8;"Hold"
"2015-12-22";2669.0;"Hold"
"2015-12-23";2675.2;"Hold"
"2015-12-24";2689.7;"Hold"
"2015-12-28";2702.25;"Hold"
"2015-12-29";2734.25;"Hold"
"2015-12-30";2711.65;"Hold"
"2015-12-31";2695.25;"Hold"
"2016-01-01";2687.85;"Hold"
"2016-01-04";2645.5;"Hold"
"2016-01-05";2621.05;"Hold"
"2016-01-06";2581.75;"Hold"
"2016-01-07";2513.15;"Hold"
"2016-01-08";2489.0;"Hold"
"2016-01-11";2503.2;"Hold"
"2016-01-12";2469.55;"Hold"
"2016-01-13";2470.75;"Sell"
"2016-01-14";2433.1;"Hold"
"2016-01-15";2425.35;"Hold"
"2016-01-18";2431.2;"Hold"
"2016-01-19";2482.95;"Hold"
"2016-01-20";2488.05;"Hold"
"2016-01-21";2473.5;"Hold"
"2016-01-22";2586.05;"Hold"
"2016-01-25";2520.8;"Hold"
"2016-01-27";2482.05;"Hold"
"2016-01-28";2448.55;"Hold"
"2016-01-29";2562.8;"Hold"
"2016-02-01";2535.0;"Hold"
"2016-02-02";2521.8;"Hold"
"2016-02-03";2484.7;"Hold"
"2016-02-04";2510.5;"Hold"
"2016-02-05";2578.05;"Hold"
"2016-02-08";2568.1;"Hold"
"2016-02-09";2579.65;"Hold"
"2016-02-10";2547.45;"Hold"
"2016-02-11";2498.45;"Hold"
"2016-02-12";2486.5;"Hold"
"2016-02-15";2515.7;"Hold"
"2016-02-16";2508.45;"Hold"
"2016-02-17";2523.9;"Hold"
"2016-02-18";2620.95;"Hold"
"2016-02-19";2704.85;"Hold"
"2016-02-22";2705.95;"Hold"
"2016-02-23";2660.3;"Hold"
"2016-02-24";2623.45;"Hold"
"2016-02-25";2623.3;"Hold"
"2016-02-26";2557.15;"Hold"
"2016-02-29";2499.65;"Buy"
"2016-03-01";2667.0;"Hold"
"2016-03-02";2807.75;"Hold"
"2016-03-03";2824.75;"Hold"
"2016-03-04";2835.8;"Hold"
"2016-03-08";2809.9;"Hold"
"2016-03-09";2816.95;"Hold"
"2016-03-10";2812.1;"Hold"
"2016-03-11";2810.5;"Hold"
"2016-03-14";2817.15;"Hold"
"2016-03-15";2812.95;"Hold"
"2016-03-16";2797.95;"Hold"
"2016-03-17";2819.5;"Hold"
"2016-03-18";2832.9;"Hold"
"2016-03-21";2802.75;"Hold"
"2016-03-22";2866.75;"Hold"
"2016-03-23";2870.35;"Hold"
"2016-03-28";2848.2;"Hold"
"2016-03-29";2851.35;"Hold"
"2016-03-30";2922.45;"Hold"
