"Date";"Close Price";"Signal"
"2015-01-01";2548.2;"Hold"
"2015-01-02";2570.85;"Hold"
"2015-01-05";2537.9;"Hold"
"2015-01-06";2446.55;"Hold"
"2015-01-07";2416.8;"Hold"
"2015-01-08";2443.85;"Hold"
"2015-01-09";2512.2;"Hold"
"2015-01-12";2512.05;"Hold"
"2015-01-13";2498.3;"Hold"
"2015-01-14";2518.15;"Hold"
"2015-01-15";2545.0;"Hold"
"2015-01-16";2531.9;"Hold"
"2015-01-19";2509.75;"Hold"
"2015-01-20";2499.55;"Hold"
"2015-01-21";2511.35;"Hold"
"2015-01-22";2512.75;"Hold"
"2015-01-23";2501.7;"Hold"
"2015-01-27";2502.8;"Hold"
"2015-01-28";2534.7;"Hold"
"2015-01-29";2541.35;"Hold"
"2015-01-30";2481.0;"Hold"
"2015-02-02";2512.8;"Hold"
"2015-02-03";2554.8;"Hold"
"2015-02-04";2514.0;"Buy"
"2015-02-05";2551.9;"Hold"
"2015-02-06";2576.0;"Hold"
"2015-02-09";2515.15;"Hold"
"2015-02-10";2442.95;"Hold"
"2015-02-11";2460.15;"Hold"
"2015-02-12";2462.8;"Hold"
"2015-02-13";2538.65;"Hold"
"2015-02-16";2585.25;"Hold"
"2015-02-18";2633.9;"Hold"
"2015-02-19";2679.7;"Hold"
"2015-02-20";2674.85;"Hold"
"2015-02-23";2695.05;"Hold"
"2015-02-24";2707.15;"Hold"
"2015-02-25";2671.3;"Hold"
"2015-02-26";2656.35;"Hold"
"2015-02-27";2663.75;"Hold"
"2015-02-28";2675.3;"Hold"
"2015-03-02";2670.15;"Hold"
"2015-03-03";2774.7;"Hold"
"2015-03-04";2743.4;"Hold"
"2015-03-05";2696.35;"Hold"
"2015-03-09";2643.15;"Hold"
"2015-03-10";2642.8;"Hold"
"2015-03-11";2609.35;"Hold"
"2015-03-12";2619.0;"Hold"
"2015-03-13";2581.05;"Hold"
"2015-03-16";2565.35;"Hold"
"2015-03-17";2580.9;"Hold"
"2015-03-18";2560.7;"Hold"
"2015-03-19";2594.4;"Hold"
"2015-03-20";2609.65;"Hold"
"2015-03-23";2610.55;"Hold"
"2015-03-24";2593.55;"Hold"
"2015-03-25";2573.1;"Hold"
"2015-03-26";2513.35;"Hold"
"2015-03-27";2516.2;"Hold"
"2015-03-30";2557.25;"Hold"
"2015-03-31";2547.05;"Hold"
"2015-04-01";2543.4;"Hold"
"2015-04-06";2546.0;"Sell"
"2015-04-07";2586.1;"Hold"
"2015-04-08";2644.35;"Hold"
"2015-04-09";2661.15;"Hold"
"2015-04-10";2651.95;"Hold"
"2015-04-13";2650.25;"Hold"
"2015-04-15";2624.7;"Hold"
"2015-04-16";2585.2;"Hold"
"2015-04-17";2476.2;"Hold"
"2015-04-20";2430.65;"Hold"
"2015-04-21";2426.85;"Hold"
"2015-04-22";2447.9;"Hold"
"2015-04-23";2456.85;"Hold"
"2015-04-24";2496.9;"Hold"
"2015-04-27";2500.3;"Hold"
"2015-04-28";2494.55;"Hold"
"2015-04-29";2485.65;"Hold"
"2015-04-30";2466.65;"Hold"
"2015-05-04";2479.1;"Hold"
"2015-05-05";2519.25;"Hold"
"2015-05-06";2462.85;"Hold"
"2015-05-07";2543.3;"Hold"
"2015-05-08";2530.7;"Hold"
"2015-05-11";2555.8;"Hold"
"2015-05-12";2521.2;"Hold"
"2015-05-13";2519.95;"Hold"
"2015-05-14";2499.95;"Hold"
"2015-05-15";2509.65;"Hold"
"2015-05-18";2519.35;"Hold"
"2015-05-19";2511.95;"Hold"
"2015-05-20";2557.55;"Hold"
"2015-05-21";2557.65;"Hold"
"2015-05-22";2619.55;"Hold"
"2015-05-25";2601.4;"Hold"
"2015-05-26";2606.35;"Hold"
"2015-05-27";2616.55;"Hold"
"2015-05-28";2609.95;"Hold"
"2015-05-29";2610.6;"Buy"
"2015-06-01";2616.4;"Hold"
"2015-06-02";2600.45;"Hold"
"2015-06-03";2610.75;"Hold"
"2015-06-04";2606.2;"Hold"
"2015-06-05";2572.35;"Hold"
"2015-06-08";2578.65;"Hold"
"2015-06-09";2558.1;"Hold"
"2015-06-10";2602.05;"Hold"
"2015-06-11";2571.0;"Hold"
"2015-06-12";2512.05;"Hold"
"2015-06-15";2511.8;"Hold"
"2015-06-16";2511.05;"Hold"
"2015-06-17";2514.95;"Hold"
"2015-06-18";2528.55;"Hold"
"2015-06-19";2551.1;"Hold"
"2015-06-22";2595.7;"Hold"
"2015-06-23";2577.7;"Hold"
"2015-06-24";2568.4;"Hold"
"2015-06-25";2551.75;"Hold"
"2015-06-26";2594.05;"Hold"
"2015-06-29";2593.55;"Hold"
"2015-06-30";2552.2;"Hold"
"2015-07-01";2591.8;"Hold"
"2015-07-02";2580.85;"Hold"
"2015-07-03";2604.8;"Hold"
"2015-07-06";2632.8;"Hold"
"2015-07-07";2619.05;"Hold"
"2015-07-08";2594.05;"Hold"
"2015-07-09";2521.4;"Hold"
"2015-07-10";2471.9;"Hold"
"2015-07-13";2508.6;"Hold"
"2015-07-14";2499.5;"Hold"
"2015-07-15";2546.25;"Hold"
"2015-07-16";2538.15;"Hold"
"2015-07-17";2559.35;"Hold"
"2015-07-20";2579.55;"Sell"
"2015-07-21";2562.85;"Hold"
"2015-07-22";2528.1;"Hold"
"2015-07-23";2487.95;"Hold"
"2015-07-24";2503.75;"Hold"
"2015-07-27";2496.9;"Hold"
"2015-07-28";2501.5;"Hold"
"2015-07-29";2508.1;"Hold"
"2015-07-30";2480.95;"Hold"
"2015-07-31";2510.0;"Hold"
"2015-08-03";2507.95;"Hold"
"2015-08-04";2509.3;"Hold"
"2015-08-05";2541.65;"Hold"
"2015-08-06";2574.3;"Hold"
"2015-08-07";2551.7;"Hold"
"2015-08-10";2570.8;"Hold"
"2015-08-11";2603.05;"Hold"
"2015-08-12";2671.4;"Hold"
"2015-08-13";2637.4;"Hold"
"2015-08-14";2693.65;"Hold"
"2015-08-17";2684.75;"Buy"
"2015-08-18";2734.6;"Hold"
"2015-08-19";2731.4;"Hold"
"2015-08-20";2691.2;"Hold"
"2015-08-21";2675.1;"Hold"
"2015-08-24";2579.2;"Hold"
"2015-08-25";2567.35;"Hold"
"2015-08-26";2576.75;"Hold"
"2015-08-27";2577.6;"Hold"
"2015-08-28";2570.65;"Hold"
